괜찮다/괜찮아요;alright, fine;C'est bon / ça va.
조용하다;quiet, calm;calme, silencieux
바쁘다;busy; occupé
재미있다;fun, interesting;amusant, intéressant
같다/같아요;same, identical;pareil, identique
다르다/달라요;different;différent
피곤하다;tired, exhausted;fatigué
아프다;sick, in pain;malade, avoir mal
예쁘다;pretty, beautiful;joli
슬프다;sad;triste
나쁘다;bad, unpleasant;mauvais
기쁘다;happy/glad;content/heureux
늦다;late;tard, en retard
가깝다/가까워요;near/close;proche
멀다/멀어요;far;éloigné
복잡하다;complex, congested, crowded;complexe, emcombré
빠르다/빨라요;fast;rapide
크다/커요;big;grand
작다/작아요;small;petit
적다/적어요;a few;quelques
싸다;cheap;pas cher
비싸다;expensive;cher
높다;high;haut
낮다;low;bas
길다;long;long
짧다;short;court
느리다;slow;lent
덥다/더워요;hot;chaud
춥다/추워요;cold;froid
어렵다;difficult;difficile
쉽다/쉬워요;easy;facile
맛있다;tasty;bon (nourriture)
맛없다;not tasty;mauvais (nourriture)
무겁다;heavy;lourd
가볍다;light (not heavy);léger
불편하다;inconvenient;pas pratique
친절하다;kind, hospitable;gentil, amical
따뜻하다;warm;il fait bon, chaud (positif)
시원하다;cool, fresh;frais
맑다/맑아요;clear (weather);clair, dégagé (météo)
흐리다;cloudy;nuageux, convert (météo)
깨끗하다;clean;propre
아름답다;beautiful, pretty;beau, charmant
멋있다;stylish, elegant;cool, stylé
똑똑하다;clever;malin
귀엽다;cute;mignon
유명하다;famous, popular;populaire, célèbre
맵다;spicy, hot;épicé, chaud
넓다;wide;large
좁다;narrow;étroit
