뭐;what?;quoi ?
누구;who?;qui ?
어디;where?;où ?
언제;when?;quand ?
왜;why?;pourquoi ?
어떻게;how?;comment ?
어때요/어떤;How is it?;C'est comment ?
여기;here;ici
어제;yesterday;hier
오늘;today;aujourd'hui
내일;tomorrow;demain
오전;AM (time);AM (matin)
오후;PM (time);PM (après-midi)
지금;now;maintenant
요즘;these days;en ce moment, de nos jours
보통;usually;habituellement, en général
A부터 B까지;from A to B (time);de A à B (temps)
A에서 B까지;from A to B (place);de A à B (lieu)
지금부터;from now on;à partir de maintenant
같이;together, with;ensemble, avec
아주;very, extremely;très, extrêmement
지난(주/달/년);last (week/month/year);(le/la semaine/mois/année) dernière
이번(주/달);this week / this month;cette semaine, ce mois-ci
다음(주/달/해);next (week/month/year);(le/la semaine/mois/année) prochaine
올해;this year;cette année
작년;last year;l'année dernière
내년;next year;l'année prochaine
그리고;and then;puis, et ensuite
그래서;so, therefore;alors, donc
그 다음에;next, after that;ensuite, et après
그런데;but, however;mais, cependant
왜냐하면;because;parce que
하지만;but/however;mais/cependant
혹시;"By any chance, (+ question)";"Par hasard, (+ question)"
-한테;to (someone);à (quelqu'un)
-한테서;from (someone);de (quelqu'un)
다시;again;encore
-쯤;about, or so, -ish;environ
-지 마세요;Do not (+verb);Ne fait pas (+action)
조금;a little bit;un petit peu
다른;another;un autre
꼭;completely, precisely;certainement, exactement
참;truly;vraiment
-만;only;uniquement
나중;next time, later;plus tard, par la suite
모두;all;tous
어떤;certain, some;certains, quelques
계속;continuously;continuellement, en permanence
