독일;Germany;l’Allemagne
영국;United Kingdom;le Royaume-Uni
프랑스;France;la France
태국;Thailand;la Thaïlande
일본;Japan;le Japon
중국;China;la Chine
미국;United States;les États-Unis
한국;Korea;la Corée
캐나다;Canada;le Canada
러시아;Russia;la Russie
호주;Australia;l’Australie
베트남;Vietnam;le Vietnam
스위스;Switzerland;la Suisse
유럽;Europe;l'Europe
나라;country, nation;un pays
호텔;hotel;un hôtel
약국;pharmacy;une pharmacie
우체국;post office;un bureau de poste
목욕탕;public baths, bathroom;bains publics, salle de bain
편의점;convenient store;convenient store
회사;a company;une entreprise
사무실;an office;des bureaux (d’entreprise)
수영장;swimming pool;la piscine
대사관;embassy;l’ambassade
도서관;library;la bibliothèque
서점;bookstore;une librairie
영화관;cinema;un cinéma
카페/커파숍;coffee shop;coffee shop
출입국 외국인 사무소;immigration office;le bureau d’immigration
집;home;la maison
학교;school;une école
교실;classroom;une salle de classe
은행;bank;la banque
식당;restaurant;un restaurant
화장실;toilet, restroom;des toilettes
병원;hospital;un hôpital
문구점;stationery store;une papeterie / un magasin de fournitures
박물관;museum;un musée
백화점;department store (mall?);un centre commercial / grand magasin
슈퍼마켓;supermarket;un supermarché
공항;airport;un aéroport
장소;a place;un lieu, un endroit
교회/성당;church;une église
보건실;infirmary, nurse’s office;l’infirmerie
고속버스 터미널;Express Bus Terminal;terminal de bus express
길;a road;une route
방;a room;une pièce (lieu)
공원;a park;un parc
체육관;the gym;la salle de sport
극장;cinema;un cinéma
역;station;la station
버스 정류장;bus stop;un arrêt de bus
산;mountain;une montagne
휴게실;lounge, room to rest;salle de repos
근처;neighborhood;le voisinage, les alentours
바다;the sea;la mer
